CODIGO;PRODUCTO;DISPONIBLE PARA;CATEGORIAS;UNIDAD MEDIDA;PORCENTAJE IVA;COD BARRA;COSTO;COSTO TOTAL;PROVEEDOR;STOCKEABLE;ACEPTA STOCK NEGATIVO;TIPO DE PRODUCTO;DESCRIPCION;ULTIMA ACT. COSTO;MONEDA
97855088741;TECLADO LOGITECH K120 USB NEGRO RESISTENTE A DERRAMES DE AGUA CON CABLE;TODOS;TECLADOS > USB ALAMBRICO;UNIDAD;iva105;97855088741;11214,00;11214,00;TECNOPRICES;S;S;SIMPLE;;21/10/2025;PESOS
2141;FLIP COVER LISO CELULAR;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;2141;2200,00;2200,00;DYD;S;S;SIMPLE;;7/11/2025;PESOS
7798137720429;PAD MOUSE NOGA APOYA MUÑECA CON GEL 3D;TODOS;ACCESORIOS > DE PC;UNIDAD;iva21;7798137720429;4156,00;4156,00;IMPOTEKNO;S;S;SIMPLE;;19/9/2025;PESOS
1312;MOUSE PAD LISO BLACK BIG - 68CM X 30CM;TODOS;ACCESORIOS > DE PC;UNIDAD;iva21;1312;4883,00;4882,64;TODOINSUMOS;S;S;SIMPLE;;19/9/2025;PESOS
A60;LAMPARA LED RGB CON CONTROL A60;TODOS;ILUMINACION > LAMPARA LED;UNIDAD;iva21;A60;2868,00;2867,77;TODOINSUMOS;S;S;SIMPLE;;19/9/2025;PESOS
840023268151;EDGE 50 NEO 5G 512GB / 12GB RAM  (LATTE) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;840023268151;351000,00;351000,00;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;17/10/2025;PESOS
840023276064;MOTOROLA G85 256GB / 8GB RAM  (GREEN) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;840023276064;251207,00;251206,61;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;6/10/2025;PESOS
840023275074;MOTOROLA G35 5G 256GB / 8GB RAM  (BLACK);TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;840023275074;184700,00;184700,00;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;17/10/2025;PESOS
840023288661;MOTOROLA G15 128GB / 4GB RAM  (GREY) C/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;840023288661;141600,00;141600,00;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;17/10/2025;PESOS
8806097667407;SAMSUNG GALAXY A17 5G 256GB / 8GB RAM  (BLUE) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;8806097667407;305388,00;305388,43;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;6/10/2025;PESOS
8806097055396;SAMSUNG GALAXY A56 5G 256GB / 12GB RAM  (GRAFITO) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;8806097055396;464240,00;464239,67;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;6/10/2025;PESOS
8806097056485;SAMSUNG GALAXY A56 5G 256GB / 12GB RAM  (OLIVE) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;8806097056485;464240,00;464239,67;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;6/10/2025;PESOS
8806097055921;SAMSUNG GALAXY A56 5G 256GB / 12GB RAM  (GRAY) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;8806097055921;464240,00;464239,67;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;6/10/2025;PESOS
8806097057819;SAMSUNG GALAXY A36 5G 256GB / 8GB RAM  (BLACK) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;8806097057819;363264,00;363264,46;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;6/10/2025;PESOS
8806097058021;SAMSUNG GALAXY A36 5G 256GB / 8GB RAM  (WHITE) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;8806097058021;363264,00;363264,46;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;6/10/2025;PESOS
8806097059622;SAMSUNG GALAXY A36 5G 256GB / 8GB RAM  (LIMA) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;8806097059622;363264,00;363264,46;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;6/10/2025;PESOS
8806095828886;SAMSUNG GALAXY A16 128GB/4RAM  ( BLACK) S/CARG;TODOS;CELULARES > SMARTPHONES;UNIDAD;iva21;8806095828886;165008,00;165008,26;URQUIZA, DIEGO COZZO;S;S;SIMPLE;;6/10/2025;PESOS
6974202726843;PEN DRIVE HIKSEMI 32GB M200 CLASSIC USB 3.0;TODOS;ALMACENAMIENTO > PENDRIVES;UNIDAD;iva21;6974202726843;5232,00;5231,82;INVID COMPUTERS;S;S;SIMPLE;;7/10/2025;PESOS
740617263442;DISCO SSD KINGSTON A400 480 GB SATA;TODOS;ALMACENAMIENTO > DISCOS SOLIDOS;UNIDAD;iva105;740617263442;50284,00;50284,00;INVID COMPUTERS;S;S;SIMPLE;;7/10/2025;PESOS
740617310023;PENDRIVE 256GB KINGSTON DATATRAVELER EXODIA DTX USB 3.2;TODOS;ALMACENAMIENTO > PENDRIVES;UNIDAD;iva21;740617310023;20493,00;20493,00;TECNOPRICES;S;S;SIMPLE;;7/10/2025;PESOS
