CODIGO;PRODUCTO;CATEGORIAS;RUBRO;SUB RUBRO;PORCENTAJE IVA;COD BARRA;COSTO;COSTO TOTAL;PROVEEDOR;STOCKEABLE;ACEPTA STOCK NEGATIVO;TIPO DE PRODUCTO;DESCRIPCION;ULTIMA ACT. COSTO;MONEDA
96178218;PILAS AUDIFONO RAYOVAC 675 - BLISTER X 8;;PILAS;AUDIFONOS;21;96178218;3826,98;3826,98;PINTOS SCHMIDT, ALDANA MARCELA;S;S;SIMPLE;;28/5/2025;PESOS
4898338012415;PILA CR2 VINNIC LITHIUM - BLISTER X UNIDAD;;PILAS;LITIO;21;4898338012415;2036,52;2036,52;PINTOS SCHMIDT, ALDANA MARCELA;S;S;SIMPLE;;28/5/2025;PESOS
4898338008265;PILAS VINNIC LR43 - VENTA X UNIDAD;;PILAS;ALCALINAS;21;4898338008265;97,21;97,21;PINTOS SCHMIDT, ALDANA MARCELA;S;S;SIMPLE;;28/5/2025;PESOS
1126030101200;PARLANTE 6,5 - MODO-012 CARNIVAL - ONLY;;AUDIO;PARLANTES;21;1126030101200;12809,92;12809,92;ONLY DISTRIBUIDORA;S;S;SIMPLE;;12/9/2025;PESOS
2139;TPU TRANSPARENTE SMOKE COLOR CELULAR;;ACCESORIOS;DE CELULARES;21;2139;1860;1860;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/4/2025;PESOS
3058;PARLANTE 3 - MODO-022 HEAT - ONLY - GRIS;;AUDIO;PARLANTES;21;3058;4793,39;4793,39;ONLY DISTRIBUIDORA;S;S;SIMPLE;;11/9/2025;PESOS
4713218461179;DISCO SSD ADATA 480GB BLISTER;;ALMACENAMIENTO;DISCOS SOLIDOS;10,5;4713218461179;38645;38645;GRUPO NUCLEO, ANGEL;S;S;SIMPLE;;7/10/2025;PESOS
6974202726638;PEN DRIVE HIKSEMI 32GB M210S PULLY USB 3.0;;ALMACENAMIENTO;PENDRIVES;21;6974202726638;5440;5440,5;INVID COMPUTERS;S;S;SIMPLE;;7/10/2025;PESOS
6974202725556;DISCO SSD HIKSEMI 240GB WAVE SATA;;ALMACENAMIENTO;DISCOS SOLIDOS;10,5;6974202725556;22780;22780;INVID COMPUTERS;S;S;SIMPLE;;7/10/2025;PESOS
6920620009051;CARTUCHO GTC EPSON T734 AMARILLO;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS EPSON;21;6920620009051;2454,74;2454,74;JCK, JUAN;S;S;SIMPLE;;27/6/2025;PESOS
19337;SMARTWATCH ZEBLAZE BTALK 3 PRO ACELEROMETRO GIROCOPIO FRECUENCIA CARDIACA SATURACION DE OXIGENO EN SANGRE OXIMETRO DE PULSO IP68 260MAH BLUETOOTH 5.2 PANTALLA 1.3 PULGADAS;;RELOJES SMART;SMARTWATCH;10,5;19337;32769,19;32769,19;TECNOPRICES;S;S;SIMPLE;;18/6/2025;PESOS
